Source,Why monitor,Frequency,Ref
Global Affairs Canada — Canadian Sanctions Related to Syria,Official Syria sanctions landing page; monitor for restrictions permits and updates,Weekly,web:114
Global Affairs Canada — Canadian sanctions hub,General sanctions portal; useful for guidance permits delisting and sanctions basics,Weekly,web:120
Global Affairs Canada — Information and guidance,Compliance guidance due diligence and sector guidance,Weekly,web:164
Justice Laws — Special Economic Measures (Syria) Regulations,Authoritative legal text of the Syria sanctions regime,Weekly,web:147
Canada Gazette — amendments to Syria regulations and permits,Legal amendments and permits; often first legal publication of changes,Weekly,web:108;web:169
Global Affairs Canada — Canada announces measures related to Syria,Most important recent policy update; current counts and easing measures,Monthly,web:112
Global Affairs Canada — Backgrounder: Amendments to sanctions related to Syria,Explains rationale for easing and what was removed,Monthly,web:100
Global Affairs Canada — Canada’s response to the situation in Syria,Policy context on Syria and Canada’s approach,Monthly,web:99
Global Affairs Canada — Canadian sanctions guidance — Humanitarian sector,Humanitarian compliance and risk management guidance for NGOs and charities,Weekly,web:148
General permit issued under the Special Economic Measures (Syria) Regulations,Temporary permissions and allowed activities,Weekly,web:207
Canadian sanctions – Essential information,User friendly sanctions education entry point,Monthly,web:240
Current sanctions imposed by Canada,Broader sanctions architecture and how Syria fits within it,Monthly,web:233
Canada and Syria,Country context and links to sanctions and policy pages,Monthly,web:239
House of Commons / parliamentary committee materials,Policy direction and official framing,Monthly,web:110
Canada’s Middle East engagement strategy,Broader regional policy context,Quarterly,web:210
Syrian Investment Authority / investment map,Sector opportunities and public investment information,Monthly,web:219;web:220
Syrian Investment Gate,Market opportunities and sector presentation,Monthly,web:208
Syrian Canadian Business Council,Canada linked business and trade opportunities,Monthly,web:211
Syrian Sovereign Fund,State asset and investment context,Monthly,web:229
Syrian business directories,Counterparty mapping and local market structure,Monthly,web:221
World Bank Syria data,FDI and macro indicators,Monthly,web:225
World Bank Syria macro fiscal assessment,Recovery and structural context,Quarterly,web:234
Law firm updates (Cassels Norton Rose Fulbright Baker McKenzie),Cross jurisdiction risk analysis and compliance interpretation,Monthly,web:125;web:124;web:168
